2010,"upper","Thomas H. McVea","LAL000240"
2009,"lower","Regina Ashford Barrow","LAL000181"
2009,"upper","Robert A. Johnson","LAL000225"
2009,"upper","Mickey James Guillory","LAL000210"
2009,"lower","Pugh","LAL000252"
2009,"lower","Jonathan W. Perry","LAL000249"
2009,"lower","Robert E. Billiot","LAL000182"
,"lower","Leger, Walt III","LAL000099"
2009,"upper","Jerry Gisclair","LAL000208"
2009,"upper","Murray","LAL000164"
2010,"upper","Rickey L. Nowlin","LAL000247"
,"lower","Johnson, Robert A.","LAL000225"
,"lower","Gallot, Jr., Richard ""Rick""","LAL000070"
2009,"lower","Kleckley","LAL000229"
2010,"upper","Patricia Haynes Smith","LAL000264"
2010,"upper","Richard ""Rick"" Gallot, Jr.","LAL000070"
2009,"upper","Nicholas ""Nick"" Gautreaux","LAL000150"
2009,"lower","William Joseph McPherson, Jr.","LAL000159"
2009,"upper","Herbert B. Dixon","LAL000197"
2010,"upper","Henry L. Burns","LAL000185"
2009,"upper","Roy A. Burrell","LAL000187"
,"upper","D. A. ""Butch""  Gautreaux","LAL000149"
2009,"upper","George Gregory Cromer","LAL000195"
2010,"upper","Jerome Richard","LAL000253"
2009,"lower","Guillory","LAL000210"
2010,"lower","Christopher J. Roy, Jr.","LAL000122"
2010,"lower","A. G. Crowe","LAL000146"
2009,"upper","Michael J. ""Mike"" Michot","LAL000160"
2009,"lower","Kirk Talbot","LAL000267"
2010,"upper","Jared C. Brossett","LAL000183"
2009,"lower","Jerry Gisclair","LAL000208"
2009,"lower","Hoffmann","LAL000219"
2010,"lower","Lee ""Jody"" Amedee","LAL000139"
2009,"lower","Cromer","LAL000195"
2009,"lower","Yvonne Dorsey","LAL000147"
,"joint","Champagne, Simone B.","LAL000190"
2009,"upper","Joel C. Robideaux","LAL000257"
2010,"lower","John R. Smith","LAL000169"
2009,"upper","Long","LAL000156"
2009,"lower","Christopher J. Roy, Jr.","LAL000122"
,"lower","Cromer, George Gregory","LAL000195"
2009,"lower","Richardson","LAL000254"
2009,"lower","Karen Gaudet St. Germain","LAL000265"
2010,"upper","Elbert L. Guillory","LAL000151"
,"upper","John A. Alario, Jr.","LAL000138"
2009,"upper","Richard T. Burford","LAL000184"
2009,"lower","Ligi","LAL000236"
,"upper","Willie L. Mount","LAL000163"
2010,"upper","Daniel R. Martiny","LAL000158"
2009,"lower","Lee ""Jody"" Amedee","LAL000139"
2009,"upper","B. L. ""Buddy"" Shaw","LAL000168"
2010,"upper","Hunter V. Greene","LAL000209"
2009,"lower","Eddie J. Lambert","LAL000232"
2009,"lower","Jones, S.","LAL000227"
2010,"lower","Frank A. Howard","LAL000221"
2010,"upper","Simone B. Champagne","LAL000190"
,"upper","Robert ""Rob"" Marionneaux, Jr.","LAL000157"
2010,"upper","Christopher J. Roy, Jr.","LAL000122"
2009,"upper","Martiny","LAL000158"
2010,"upper","Patrick Page Cortez","LAL000194"
2010,"lower","Joel C. Robideaux","LAL000257"
2009,"lower","Cortez","LAL000194"
2009,"upper","Frank A. Hoffmann","LAL000219"
,"upper","Jean-Paul J. Morrell","LAL000161"
2009,"lower","Richard ""Rick"" Gallot, Jr.","LAL000070"
2009,"upper","James K. Armes III","LAL000174"
,"upper","John R. Smith","LAL000169"
,"lower","McVea, Thomas H.","LAL000240"
,"lower","Willmott, Thomas P.","LAL000274"
2009,"upper","Crowe","LAL000146"
2009,"upper","Stephen F. Carter","LAL000189"
2009,"upper","Julie Quinn","LAL000167"
2010,"lower","Patrick Page Cortez","LAL000194"
2009,"upper","Elton M. Aubert","LAL000176"
2010,"lower","Richard ""Rick"" Gallot, Jr.","LAL000070"
2009,"lower","J. Rogers Pope","LAL000251"
2010,"upper","Nicholas ""Nick"" Gautreaux","LAL000150"
2009,"upper","Neil C. Abramson","LAL000172"
2009,"upper","D.A. ""Butch"" Gautreaux","LAL000149"
,"lower","Pugh, Stephen E.","LAL000252"
2009,"upper","Jack Donahue","LAL000276"
2010,"upper","Joel T. Chaisson, II","LAL000143"
,"lower","Jones, Rosalind D.","LAL000226"
2009,"lower","Landry","LAL000233"
2009,"lower","Nickie Monica","LAL000242"
2010,"upper","Willie L. Mount","LAL000163"
2009,"lower","Fannin","LAL000203"
,"joint","Smith, Jr., Gary L.","LAL000262"
2009,"lower","Stephen E. Pugh","LAL000252"
2010,"upper","Jonathan W. Perry","LAL000249"
2009,"lower","Hardy","LAL000212"
2009,"upper","Taylor F. Barras","LAL000180"
2009,"lower","Erich E. Ponti","LAL000250"
2009,"lower","Girod Jackson III","LAL000088"
2010,"upper","Wayne Waddell","LAL000136"
2009,"lower","Badon, A.","LAL000042"
2010,"lower","John M. Schroder, Sr.","LAL000259"
2009,"lower","Rickey Hardy","LAL000212"
2009,"upper","Mack A. ""Bodi"" White, Jr.","LAL000272"
2010,"upper","William Joseph McPherson, Jr.","LAL000159"
2010,"upper","Walt Leger, III","LAL000099"
2009,"upper","Anthony V. Ligi, Jr.","LAL000236"
2010,"lower","Wayne Waddell","LAL000136"
2010,"lower","Henry L. Burns","LAL000185"
2009,"upper","Cameron Henry","LAL000216"
2009,"lower","Hines","LAL000218"
2010,"upper","Rosalind D. Jones","LAL000226"
2010,"upper","Timothy G. ""Tim"" Burns","LAL000186"
2010,"upper","Robert W.  Kostelka","LAL000154"
2010,"lower","Samuel P. Little","LAL000237"
2009,"lower","Mickey James Guillory","LAL000210"
2009,"lower","John Bel Edwards","LAL000201"
2009,"lower","Willmott","LAL000274"
2009,"upper","Dan W. ""Blade"" Morrish","LAL000162"
2010,"lower","Jared C. Brossett","LAL000183"
2010,"lower","Gordon E. Dove, Sr.","LAL000199"
,"joint","Smiley, Jr., M.J. ""Mert""","LAL000125"
,"joint","Foil, Franklin J.","LAL000204"
2010,"upper","Ben W. Nevers","LAL000165"
2009,"upper","Morrell","LAL000161"
,"upper","Robert W. ""Bob"" Kostelka","LAL000154"
2009,"upper","Walsworth","LAL000171"
2009,"lower","Jared C. Brossett","LAL000183"
2009,"lower","David Heitmeier","LAL000277"
2009,"lower","LeBas","LAL000234"
2009,"upper","Samuel P. Little","LAL000237"
2010,"lower","Mack A. ""Bodi"" White, Jr.","LAL000272"
2009,"lower","Doerge","LAL000198"
2010,"lower","Hunter V. Greene","LAL000209"
2009,"lower","McVea","LAL000240"
2009,"lower","Gordon E. Dove, Sr.","LAL000199"
2009,"upper","Henry L. Burns","LAL000185"
,"joint","Burrell, Roy","LAL000187"
2010,"lower","Daniel R. Martiny","LAL000158"
2010,"upper","Jerry Gisclair","LAL000208"
2009,"upper","Hollis Downs","LAL000200"
2009,"lower","Noble E. Ellington","LAL000202"
2009,"lower","Badon, B.","LAL000177"
2009,"lower","Lambert","LAL000232"
2010,"lower","Simone B. Champagne","LAL000190"
2009,"lower","Stephen F. Carter","LAL000189"
2009,"lower","Rosalind D. Jones","LAL000226"
2010,"lower","Joel T. Chaisson, II","LAL000143"
2009,"upper","Reed S. Henderson","LAL000215"
2010,"upper","Joel C. Robideaux","LAL000257"
2010,"lower","Rosalind D. Jones","LAL000226"
2009,"lower","Scott M. Simon","LAL000260"
2009,"upper","Erdey","LAL000148"
2010,"upper","John A. Alario, Jr.","LAL000138"
2009,"upper","Shaw","LAL000168"
2010,"lower","Jerry Gisclair","LAL000208"
2009,"upper","Charles E. ""Chuck"" Kleckley","LAL000229"
2009,"upper","Lydia Patrice Jackson","LAL000153"
2010,"upper","Richard T. Burford","LAL000184"
2009,"lower","Conrad Appel","LAL000140"
2009,"lower","Jean M. Doerge","LAL000198"
2009,"lower","Jeffery ""Jeff"" J. Arnold","LAL000175"
,"joint","Templet, Ricky J.","LAL000268"
2010,"lower","Helena N. Moreno","LAL000244"
,"lower","Richard, Jerome","LAL000253"
2009,"lower","Joel T. Chaisson, II","LAL000143"
2009,"upper","Ricky J. Templet","LAL000268"
2009,"upper","Hunter V. Greene","LAL000209"
2009,"upper","Regina Ashford Barrow","LAL000181"
2010,"lower","Patrick C. Williams","LAL000273"
2010,"upper","Taylor F. Barras","LAL000180"
,"upper","B.L. ""Buddy""  Shaw","LAL000168"
2009,"lower","Jones, R.","LAL000226"
2009,"lower","Michael E. Danahay","LAL000196"
2009,"upper","Simone B. Champagne","LAL000190"
2009,"lower","Simon","LAL000260"
2009,"lower","Ernest D. Wooton","LAL000275"
2009,"lower","LaFonta","LAL000231"
2010,"lower","Stephen F. Carter","LAL000189"
2009,"lower","Charmaine Marchand Stiaes","LAL000266"
2009,"lower","Richard T. Burford","LAL000184"
2010,"lower","Charles E. ""Chuck"" Kleckley","LAL000229"
2009,"lower","Gisclair","LAL000208"
2009,"upper","Michot","LAL000160"
,"lower","Mills, Fred H. Jr.","LAL000105"
2009,"upper","Robert W.  Kostelka","LAL000154"
,"lower","Billiot, Robert E.","LAL000182"
2009,"lower","Morris","LAL000245"
2009,"lower","Chaney","LAL000192"
,"lower","Little, Samuel P.","LAL000237"
2009,"lower","Frank A. Howard","LAL000221"
2009,"lower","Brett F. Geymann","LAL000207"
2010,"lower","Ledricka Johnson Thierry","LAL000270"
2009,"upper","Francis C. Thompson","LAL000170"
2010,"upper","Nancy R. Landry","LAL000233"
2010,"upper","D.A. ""Butch"" Gautreaux","LAL000149"
2009,"lower","James R. ""Jim"" Fannin","LAL000203"
2010,"lower","Robert W.  Kostelka","LAL000154"
2010,"upper","Michael E. Danahay","LAL000196"
2009,"lower","Gary L. Smith, Jr.","LAL000262"
,"lower","Cortez, Patrick Page","LAL000194"
2010,"upper","Samuel P. Little","LAL000237"
