"term","chamber","name","leg_id"
"2011-2012","upper","WELDON, 3RD","GAL000224"
"2011-2012","lower","WILKERSON, 33RD","GAL000225"
"2011-2012","upper","WILKERSON, 33RD","GAL000225"
"2011-2012","upper","WILKINSON, 52ND","GAL000226"
"2011-2012","lower","WILKINSON, 52ND","GAL000226"
"2011-2012","upper","WILLARD, 49TH","GAL000227"
"2011-2012","lower","WILLARD, 49TH","GAL000227"
"2011-2012","upper","WILLIAMS, 113TH","GAL000229"
"2011-2012","lower","WILLIAMS, 113TH","GAL000229"
"2011-2012","lower","WILLIAMS, 165TH","GAL000228"
"2011-2012","upper","WILLIAMS, 165TH","GAL000228"
"2011-2012","upper","WILLIAMS, 19TH","GAL000054"
"2011-2012","lower","WILLIAMS, 19TH","GAL000054"
"2011-2012","upper","WILLIAMS, 4TH","GAL000231"
"2011-2012","lower","WILLIAMS, 4TH","GAL000231"
"2011-2012","lower","WILLIAMS, 89TH","GAL000230"
"2011-2012","upper","WILLIAMS, 89TH","GAL000230"
"2011-2012","lower","Williams, Earnest","GAL000230"
"2011-2012","upper","WILLIAMSON, 111TH","GAL000232"
"2011-2012","lower","WILLIAMSON, 111TH","GAL000232"
"2011-2012","upper","YATES, 73RD","GAL000233"
"2011-2012","lower","YATES, 73RD","GAL000233"
